depot,service_number,product,avg_seats_per_bus,route,dep_time,arr_time,planned_kms,planned_trips,planned_per_trip,breakeven_cpk,can_be_cancelled
WARANGAL-I,PLH2,PO,55,PLKY,08:40,21:15,336,6,56,29.53,0
WARANGAL-I,PLH3,PO,55,PLKY,09:00,21:35,336,6,56,29.53,0
WARANGAL-I,PLH4,PO,55,PLKY,05:30,17:15,336,6,56,29.53,0
WARANGAL-I,PLK3,PO,55,PLKY,06:10,18:00,336,6,56,29.53,0
WARANGAL-I,PLK4,PO,55,PLKY,06:30,18:20,336,6,56,29.53,0
WARANGAL-I,PLK6,PO,55,PLKY,07:20,19:40,336,6,56,29.53,0
WARANGAL-I,PLK7,PO,55,PLKY,07:50,20:25,336,6,56,29.53,0
WARANGAL-I,PLO3,PO,55,PLKY,05:50,17:40,336,6,56,29.53,0
WARANGAL-I,PLO4,PO,55,PLKY,08:20,20:40,336,6,56,29.53,0
WARANGAL-I,PLO5,PO,55,PLKY,07:00,18:55,336,6,56,29.53,0
WARANGAL-I,SD10,PO,55,SIDDIPET,07:50,21:50,348,4,87,29.53,0
WARANGAL-I,SD11,PO,55,SIDDIPET,08:00,22:20,348,4,87,29.53,0
WARANGAL-I,SD12,PO,55,SIDDIPET,05:00,18:15,348,4,87,29.53,0
WARANGAL-I,SDO1,PO,55,SIDDIPET,05:30,18:30,348,4,87,29.53,0
WARANGAL-I,SDO2,PO,55,SIDDIPET,06:30,19:30,348,4,87,29.53,0
WARANGAL-I,SDO4,PO,55,SIDDIPET,06:00,19:00,348,4,87,29.53,0
WARANGAL-I,SDO5,PO,55,SIDDIPET,07:10,20:30,348,4,87,29.53,0
WARANGAL-I,SDO8,PO,55,SIDDIPET,07:40,21:30,348,4,87,29.53,0
WARANGAL-I,SDO9,PO,55,SIDDIPET,07:30,21:00,348,4,87,29.53,0
WARANGAL-I,TKO1,PO,55,TGIRI,08:10,19:55,328,4,82,29.53,0
WARANGAL-I,TKO2,PO,55,TGIRI,07:10,19:00,328,4,82,29.53,0
WARANGAL-I,TGO4,PO,55,TGPL,05:30,17:10,324,6,54,29.53,0
WARANGAL-I,TGO6,PO,55,TGPL,06:30,18:40,324,6,54,29.53,0
WARANGAL-I,TGO8,PO,55,TGPL,08:00,20:10,324,6,54,29.53,0
WARANGAL-I,VGO1,PO,55,VEMLAPLY,06:00,19:40,308,6,51.33333333,29.53,0
WARANGAL-I,VGO2,PO,55,VEMLAPLY,14:15,11:00,316,6,52.66666667,29.53,0
WARANGAL-II,ML22,PO,55,AGUDEM,07:35,19:30,316,4,79,35.79,0
WARANGAL-II,T552,PO,55,BAYYARAM,14:45,11:45,306,2,153,35.79,0
WARANGAL-II,H201,PE,51,BDCM-MPT,09:00,20:00,458,2,229,35.79,0
WARANGAL-II,N012,PE,51,BDCM-MPT,14:00,11:25,458,2,229,35.79,0
